,node,betweenness_unweighted,betweenness_weighted,in_degree,out_degree
248,10a3780ed2ca1ed1,0.0,0.0,0,1
249,10a3e67fcb79baf0,0.0,0.0,0,1
250,10b3b76acbb879b5,0.0,0.0,0,1
251,10c63cbced32fbae,0.0,0.0,0,1
252,10c92dd072147896,0.0,0.0,0,1
253,10e564efa911c766,0.0,0.0,0,1
254,10ef5d4486b31561,0.0,0.0,0,1
255,10f9564d7d11d5b0,0.0,0.0,0,1
256,11254c9a5d6508ca,0.0,0.0,0,1
257,1148f760bcba2e1e,0.0,0.0,0,1
258,11773d37e89c4431,0.0,0.0,0,1
259,118a7a629e6d5841,0.0,0.0,0,1
260,118dc82eb460a61e,0.0,0.0,0,1
261,118df7dca52b2bb9,0.0,0.0,0,1
262,119d29a94ae537a5,0.0,0.0,0,1
263,11b069710691d952,0.0,0.0,0,1
264,11c97c96d0f5cedb,0.0,0.0,0,1
265,11d4a51c5d9b2164,0.0,0.0,0,1
266,11f9d5d4bdf0b3cc,0.0,0.0,0,1
267,12007046178fa32d,0.0,0.0,0,1
268,121cfbc730e5dd73,0.0,0.0,0,1
269,1220ff2d02e5af14,0.0,0.0,0,1
270,1226b5c9879c2155,0.0,0.0,0,1
271,123aa815949801c5,0.0,0.0,0,1
272,12697f23daaa9144,0.0,0.0,0,1
273,1273677eb92c350a,0.0,0.0,0,1
274,127bf1cb254ede77,0.0,0.0,0,1
275,12961583d57c2020,0.0,0.0,0,1
276,12a844a0723523db,0.0,0.0,0,1
277,12ac16982f3a2ad5,0.0,0.0,0,1
278,12bd3c609d5bd8bc,0.0,0.0,0,1
279,12c1248ee1604782,0.0,0.0,0,1
280,12ffa2a9d6572f34,0.0,0.0,0,1
281,130c3901db44605b,0.0,0.0,0,1
282,13103004e22f947f,0.0,0.0,0,1
283,1320c3ed32973279,0.0,0.0,0,1
284,132bd4ce17b7ca43,0.0,0.0,0,1
285,132c601b3f250ca5,0.0,0.0,0,1
286,132e6899fa159c75,0.0,0.0,0,1
287,136518d56ac6c64c,0.0,0.0,0,1
288,13758370cab0439f,0.0,0.0,0,1
289,138c70702ec25d1a,0.0,0.0,0,1
290,139928f9d040945e,0.0,0.0,0,1
291,13a0d5fdd3ff31a1,0.0,0.0,0,1
292,13a34e81dec9a155,0.0,0.0,0,1
293,13ba2e5c6f101437,0.0,0.0,0,1
294,13c5cd740b2268b4,0.0,0.0,0,1
295,13c69f82638ffb3f,0.0,0.0,0,1
296,13dc685157ff20c0,0.0,0.0,0,1
297,1411cf36918f31e6,0.0,0.0,0,1
298,1428c6493f509813,0.0,0.0,0,1
299,142feb39e13e63b2,0.0,0.0,0,1
300,1433f79e89ff77ba,0.0,0.0,0,1
301,1446e1af7fc5c3db,0.0,0.0,0,1
302,1462fe889b3fec61,0.0,0.0,0,1
303,14702d45832b572e,0.0,0.0,0,1
304,14834e4e382484a1,0.0,0.0,0,1
305,149219ab3a147b6d,0.0,0.0,0,1
306,149fc5cdf87deee9,0.0,0.0,0,1
307,149fc813c0cb3653,0.0,0.0,0,1
308,14b69768b11e1683,0.0,0.0,0,1
309,14dc5cf77f627a35,0.0,0.0,0,1
310,14e0e4e457673a38,0.0,0.0,0,1
311,14e5ffb546d519d2,0.0,0.0,0,1
312,14fabd8bd65c13a5,0.0,0.0,0,1
313,15009b38ffaf880d,0.0,0.0,0,1
314,1506031c4e8425f6,0.0,0.0,0,1
315,152dd46b9a8ce1ff,0.0,0.0,0,1
316,153e0bc1648ed3de,0.0,0.0,0,1
317,1544a15fd7eeb689,0.0,0.0,0,1
318,154d1d91605233e7,0.0,0.0,0,1
319,156471c2f999926e,0.0,0.0,0,1
320,156e564e543e5c27,0.0,0.0,0,1
321,15792983c03a283e,0.0,0.0,0,1
322,15a429ce03020417,0.0,0.0,0,1
323,15c1d1dc49255495,0.0,0.0,0,1
324,15fbb60f87af2ff0,0.0,0.0,0,1
325,16056f908541641c,0.0,0.0,0,1
326,161af08f9518d022,0.0,0.0,0,1
