,src,dest,wt
551,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000126.npz,205228249
552,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000127.npz,p_104999,205230260
553,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000127.npz,205230260
554,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000128.npz,p_104999,205232261
555,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000128.npz,205232261
556,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000129.npz,p_104999,205234282
557,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000129.npz,205234282
558,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000130.npz,p_104999,205236304
559,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000130.npz,205236304
560,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000132.npz,p_104999,205240322
561,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000132.npz,205240322
562,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000133.npz,p_104999,205242343
563,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000133.npz,205242343
564,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000135.npz,p_104999,205246395
565,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000135.npz,205246395
566,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000136.npz,p_104999,205248412
567,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000136.npz,205248412
568,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000138.npz,p_104999,205252436
569,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000138.npz,205252436
570,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000139.npz,p_104999,205254446
571,p_104999,/p/gpfs1/iopp/mummi_demoroot_20230722_profile/ml/iter00/structure_iter00_000000000139.npz,205254446
