,Node,InDegree,OutDegree,BetweennessCentrality,DegreeCentrality,Type
40451,p_2975249,1,0,0.0,2.4371816431478637e-05,process
40452,p_1779840,168,0,0.0,0.004094465160488411,process
40453,p_1781855,1,0,0.0,2.4371816431478637e-05,process
40454,p_2679781,132,0,0.0,0.00321707976895518,process
40455,p_2677489,1,0,0.0,2.4371816431478637e-05,process
40456,p_1407552,1,0,0.0,2.4371816431478637e-05,process
40457,p_2678936,158,0,0.0,0.003850746996173625,process
40458,p_1414545,129,0,0.0,0.003143964319660744,process
40459,p_1411688,138,0,0.0,0.003363310667544052,process
40460,p_1784114,133,0,0.0,0.0032414515853866586,process
40461,p_2675346,7,2,47586.36413847961,0.00021934634788330773,process
40462,p_1411337,1,0,0.0,2.4371816431478637e-05,process
40463,p_1781364,165,0,0.0,0.004021349711193975,process
40464,p_1778867,186,0,0.0,0.004533157856255026,process
40465,p_1412562,7,2,108385.2181617472,0.00021934634788330773,process
40466,p_1781778,1,0,0.0,2.4371816431478637e-05,process
40467,p_1411696,145,0,0.0,0.0035339133825644025,process
40468,p_2679622,140,0,0.0,0.003412054300407009,process
40469,p_2681904,1,0,0.0,2.4371816431478637e-05,process
40470,p_1784508,1,0,0.0,2.4371816431478637e-05,process
40471,p_1782757,5,2,42627.894495817614,0.00017060271502035047,process
40472,p_2979065,7,2,45783.240543377906,0.00021934634788330773,process
40473,p_1779427,172,0,0.0,0.004191952426214326,process
40474,p_1410458,133,0,0.0,0.0032414515853866586,process
40475,p_1407606,1,0,0.0,2.4371816431478637e-05,process
40476,p_2974538,158,0,0.0,0.003850746996173625,process
40477,p_1782835,3,2,38654.83708901547,0.00012185908215739318,process
40478,p_1778002,1,0,0.0,2.4371816431478637e-05,process
40479,p_2977771,7,2,216708.29528713712,0.00021934634788330773,process
40480,p_1779186,1,0,0.0,2.4371816431478637e-05,process
40481,p_1412636,7,2,184532.16403540497,0.00021934634788330773,process
40482,p_1779439,183,0,0.0,0.00446004240696059,process
40483,p_1782749,5,2,26164.657756066365,0.00017060271502035047,process
40484,p_1412905,7,2,322948.74848758517,0.00021934634788330773,process
40485,p_2675012,7,2,88765.79789700663,0.00021934634788330773,process
40486,p_1411063,1,0,0.0,2.4371816431478637e-05,process
40487,p_2680146,157,0,0.0,0.003826375179742146,process
40488,p_1779198,1,0,0.0,2.4371816431478637e-05,process
40489,p_1784240,174,0,0.0,0.0042406960590772825,process
40490,p_1779025,1,0,0.0,2.4371816431478637e-05,process
40491,p_2978253,1,0,0.0,2.4371816431478637e-05,process
40492,p_2976756,7,2,71159.04451690904,0.00021934634788330773,process
40493,p_1409730,7,2,169635.99338816985,0.00021934634788330773,process
40494,p_1784550,5,2,263153.4252638427,0.00017060271502035047,process
40495,p_2674924,1,0,0.0,2.4371816431478637e-05,process
40496,p_1409251,3,2,25939.522927895643,0.00012185908215739318,process
40497,p_1783060,198,0,0.0,0.00482561965343277,process
40498,p_2976576,150,0,0.0,0.0036557724647217956,process
40499,p_2680366,7,2,39490.2569063229,0.00021934634788330773,process
40500,p_1408518,1,0,0.0,2.4371816431478637e-05,process
40501,p_1413033,1,0,0.0,2.4371816431478637e-05,process
40502,p_1780229,7,2,100543.36304321347,0.00021934634788330773,process
40503,p_1412408,133,0,0.0,0.0032414515853866586,process
